review_id,paper_slug,paper_title,venue,official_decision,system,model,pipeline_verdict,tone_verdict,tone_confidence,tone_signal,gate_verdict,gate_reason,triggered_gates,fundamental_gate_hits,fatal_concern_present,num_concerns,num_decisive_concerns,num_major_fatal_concerns,has_accept_signal,structural_unreliable_flag,structural_note,pipeline_vs_tone,pipeline_vs_gate,tone_vs_gate,native_verdict_system,per_concern_gates_json
CC-001,adversarial_dejavu,Adversarial Deja Vu: Jailbreak Dictionary Learning for Stronger Generalization to Unseen Attacks,ICLR 2026,ACCEPTED,L,Opus,REJECT,AMBIGUOUS,medium,"The review balances strong praise for novelty, empirical results, and ablations with substantive methodological concerns (circular LLM-as-judge validation, untested linearity assumption, narrow evaluation, no adaptive attacks), without a clear lean toward either acceptance or rejection.",REJECT,"3 major/fatal concerns in fundamental gates (G1, G4).","G1, G4, G6, G7",3,False,4,4,4,True,,,DIFF,SAME,DIFF,NO,"[{""id"": ""A1"", ""severity"": ""major"", ""gates"": [""G1"", ""G4""], ""brief"": ""Circular LLM-as-judge validation pipeline creates claim-evidence mismatch (explainability scores don't directly test the hypothesis) and introduces a validity confound (systematic LLM bias threatens the main hypothesis validation)."", ""source"": ""sheet""}, {""id"": ""A2"", ""severity"": ""major"", ""gates"": [""G1"", ""G4""], ""brief"": ""Unvalidated linearity assumption means the dictionary learning evidence may not directly support the compositional skill claim, and represents a methodological threat to the framework's validity."", ""source"": ""sheet""}, {""id"": ""A3"", ""severity"": ""major"", ""gates"": [""G6"", ""G4"", ""G7""], ""brief"": ""Narrow evaluation (6 unseen, mostly single-turn) with potential LLM-stylistic-overlap confound constitutes cherry-picking/narrow evaluation, a validity confound, and supports overclaiming of generalization."", ""source"": ""sheet""}, {""id"": ""A4"", ""severity"": ""major"", ""gates"": [""G6"", ""G7""], ""brief"": ""Lack of adaptive attacker evaluation means robustness claims only hold under favorable non-adaptive conditions, and the defense claims exceed what the non-adaptive evidence supports."", ""source"": ""sheet""}]"
CC-002,adversarial_dejavu,Adversarial Deja Vu: Jailbreak Dictionary Learning for Stronger Generalization to Unseen Attacks,ICLR 2026,ACCEPTED,L,GPT4o,ACCEPT,ACCEPT,medium,"The reasons for acceptance emphasize novelty, significant empirical improvements, and strong structure, while the rejection concerns are framed as addressable improvements (clarity, expanded evaluation, discussion) rather than fundamental methodological flaws.",ACCEPT,No fundamental-gate triggers and positive acceptance signal present.,"G6, G7",0,False,4,0,2,True,,,SAME,SAME,SAME,NO,"[{""id"": ""A1"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""Clarity/exposition issue about hypothesis definition, not a fundamental validity gate"", ""source"": ""sheet""}, {""id"": ""A2"", ""severity"": ""major"", ""gates"": [""G6"", ""G7""], ""brief"": ""Narrow evaluation focused on single-turn scenarios; robustness claims may overreach beyond tested conditions"", ""source"": ""sheet""}, {""id"": ""A3"", ""severity"": ""major"", ""gates"": [""G6"", ""G7""], ""brief"": ""Evaluation limited to specific datasets/models, raising cherry-picking concerns and potential overclaiming of general applicability"", ""source"": ""sheet""}, {""id"": ""A4"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""Limitations/ethics discussion gap is a presentation issue, not a fundamental validity gate"", ""source"": ""sheet""}]"
CC-003,adversarial_dejavu,Adversarial Deja Vu: Jailbreak Dictionary Learning for Stronger Generalization to Unseen Attacks,ICLR 2026,ACCEPTED,A,Opus,ACCEPT,ACCEPT,high,The reviewer explicitly states 'Decision: Accept' with an Overall score of 6 and frames weaknesses as addressable rather than fundamental.,REJECT,"3 major/fatal concerns in fundamental gates (G1, G2, G4).","G1, G2, G4, G6, G7",3,False,9,0,4,True,,,SAME,DIFF,DIFF,YES,"[{""id"": ""A1"", ""severity"": ""major"", ""gates"": [""G4"", ""G1""], ""brief"": ""Circular evaluation where the same LLM extracts skills and judges explainability is a validity threat that could invalidate the core hypothesis evidence."", ""source"": ""sheet""}, {""id"": ""A2"", ""severity"": ""major"", ""gates"": [""G6"", ""G7""], ""brief"": ""Only 6 post-cutoff attacks from same research community is narrow evaluation that may not support general 'd\u00e9j\u00e0 vu' claims."", ""source"": ""sheet""}, {""id"": ""A3"", ""severity"": ""major"", ""gates"": [""G1"", ""G4""], ""brief"": ""Linear composition assumption underlying dictionary learning is unvalidated; reconstruction MSE doesn't test semantic compositionality, undermining the evidence-claim link."", ""source"": ""sheet""}, {""id"": ""A4"", ""severity"": ""moderate"", ""gates"": [""G7"", ""G1""], ""brief"": ""Tautology risk at coarse skill granularity could make hypothesis trivially true rather than substantively predictive."", ""source"": ""sheet""}, {""id"": ""A5"", ""severity"": ""major"", ""gates"": [""G1"", ""G2""], ""brief"": ""Missing component ablation means ASCoT gains may stem from data mixture or over-refusal calibration rather than the claimed skill composition mechanism."", ""source"": ""sheet""}, {""id"": ""A6"", ""severity"": ""moderate"", ""gates"": [""G7"", ""G6""], ""brief"": ""Multi-turn generalization claim from single attack (GALA) overclaims scope beyond what evidence supports."", ""source"": ""sheet""}, {""id"": ""A7"", ""severity"": ""moderate"", ""gates"": [""G6"", ""G7""], ""brief"": ""No adaptive adversary evaluation means robustness claims hold only under non-adaptive favorable conditions."", ""source"": ""sheet""}, {""id"": ""A8"", ""severity"": ""moderate"", ""gates"": [""G1"", ""G4""], ""brief"": ""Explainability plateau lacks random-skill control, so observed scores may reflect judge ceiling rather than genuine compositional explanation."", ""source"": ""sheet""}, {""id"": ""A9"", ""severity"": ""minor"", ""gates"": [], ""brief"": """", ""source"": ""sheet""}]"
CC-004,adversarial_dejavu,Adversarial Deja Vu: Jailbreak Dictionary Learning for Stronger Generalization to Unseen Attacks,ICLR 2026,ACCEPTED,A,GPT4o,REJECT,REJECT,high,"The review explicitly states 'Decision: Reject' with uniformly low scores (2s across all criteria) and fundamental concerns about originality, empirical grounding, and reproducibility.",REJECT,"2 major/fatal concerns in fundamental gates (G1, G5).","G1, G3, G5, G6, G7",2,False,8,3,4,False,,,SAME,SAME,SAME,YES,"[{""id"": ""A1"", ""severity"": ""major"", ""gates"": [""G5""], ""brief"": ""Limited originality \u2014 leverages existing adversarial concepts without clear novelty delta, matching G5 trivially incremental novelty."", ""source"": ""sheet""}, {""id"": ""A2"", ""severity"": ""major"", ""gates"": [""G1"", ""G7""], ""brief"": ""Insufficient empirical grounding means the Adversarial D\u00e9j\u00e0 Vu hypothesis claim lacks direct supporting evidence (G1) and the theoretical claims exceed what experiments support (G7)."", ""source"": ""sheet""}, {""id"": ""A3"", ""severity"": ""major"", ""gates"": [""G3""], ""brief"": ""Overly complex implementation with unclear reproducibility and dependency on proprietary GPT-4.1 maps to G3 (method not implementable from paper)."", ""source"": ""sheet""}, {""id"": ""A4"", ""severity"": ""major"", ""gates"": [""G6"", ""G7""], ""brief"": ""Lack of longitudinal studies and real-world validation suggests results only hold under narrow academic benchmarks (G6) and overclaim practical applicability (G7)."", ""source"": ""sheet""}, {""id"": ""A5"", ""severity"": ""moderate"", ""gates"": [], ""brief"": """", ""source"": ""sheet""}, {""id"": ""A6"", ""severity"": ""moderate"", ""gates"": [], ""brief"": """", ""source"": ""sheet""}, {""id"": ""A7"", ""severity"": ""minor"", ""gates"": [], ""brief"": """", ""source"": ""sheet""}, {""id"": ""A8"", ""severity"": ""moderate"", ""gates"": [], ""brief"": """", ""source"": ""sheet""}]"
CC-005,adversarial_dejavu,Adversarial Deja Vu: Jailbreak Dictionary Learning for Stronger Generalization to Unseen Attacks,ICLR 2026,ACCEPTED,O,Opus,REJECT,REJECT,high,"The review identifies multiple fundamental technical and logical issues (truncated abstract, missing statistics, unused variables, mischaracterized methodology, confounded analysis, overstated conclusions, missing reproducibility details, and mismatched evaluation sets) that collectively indicate the work is not ready for acceptance.",REJECT,"6 major/fatal concerns in fundamental gates (G1, G2, G4).","G1, G2, G3, G4, G6, G7",6,False,9,6,6,False,,,SAME,SAME,SAME,NO,"[{""id"": ""A1"", ""severity"": ""minor"", ""gates"": [], ""brief"": ""Truncated abstract sentence is a presentation/content gap, not a fundamental methodological flaw."", ""source"": ""sheet""}, {""id"": ""A2"", ""severity"": ""major"", ""gates"": [""G1""], ""brief"": ""Cited skill-count statistics are absent from the referenced table, so the claim lacks direct supporting evidence and creates internal inconsistency."", ""source"": ""sheet""}, {""id"": ""A3"", ""severity"": ""moderate"", ""gates"": [""G3""], ""brief"": ""Unused variable r in the adversarial training objective makes the formulation ambiguous and impedes faithful implementation from the paper."", ""source"": ""sheet""}, {""id"": ""A4"", ""severity"": ""major"", ""gates"": [""G1"", ""G7""], ""brief"": ""ASCoT is SFT on pre-generated data but is framed/compared as adversarial training, misrepresenting the method's nature relative to its claims."", ""source"": ""sheet""}, {""id"": ""A5"", ""severity"": ""major"", ""gates"": [""G6"", ""G1""], ""brief"": ""Perfect zero harmfulness across all novel compositions without evaluation set size or CIs suggests narrow/insensitive evaluation underpinning a strong generalization claim."", ""source"": ""sheet""}, {""id"": ""A6"", ""severity"": ""major"", ""gates"": [""G4"", ""G6""], ""brief"": ""20x imbalance in training depths confounds the depth analysis, a validity threat to the crossover finding about deep attacks."", ""source"": ""sheet""}, {""id"": ""A7"", ""severity"": ""major"", ""gates"": [""G2"", ""G7""], ""brief"": ""Comparing a task-specific fine-tuned model to general-purpose reasoning models is an unfair baseline and overstates the 'coverage not scale' conclusion."", ""source"": ""sheet""}, {""id"": ""A8"", ""severity"": ""moderate"", ""gates"": [""G3""], ""brief"": ""Unspecified lambda for unseen-attack sparse reconstruction prevents reproduction of sparsity evidence central to the D\u00e9j\u00e0 Vu hypothesis."", ""source"": ""sheet""}, {""id"": ""A9"", ""severity"": ""major"", ""gates"": [""G1"", ""G6""], ""brief"": ""Different attack sets for dictionary-explainability vs. robustness evaluation break the evidentiary chain between explainability and the robustness claim."", ""source"": ""sheet""}]"
CC-006,adversarial_dejavu,Adversarial Deja Vu: Jailbreak Dictionary Learning for Stronger Generalization to Unseen Attacks,ICLR 2026,ACCEPTED,M,GPT4o,ACCEPT,REJECT,low,"The review consists mostly of process meta-commentary but identifies multiple areas lacking clarity and depth (hypothesis examples, dictionary construction, redundancy filtering, explainability scoring, ethics statement) framed as needed improvements rather than enthusiastic endorsement, leaning toward rejection.",AMBIGUOUS,No fundamental gate triggers but no positive acceptance signal.,G3,0,False,10,2,2,False,YES,"Review consists of multi-agent process meta-commentary (high-level plans, SEND MESSAGE artifacts, repeated farewell exchanges with Agent 9, truncated second section). Original comment was never provided; refinement is generic clarity/depth suggestions rather than substantive technical critique.",DIFF,DIFF,DIFF,NO,"[{""id"": ""A1"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""Moderate-severity clarity request for more examples; not a fundamental gate."", ""source"": ""sheet""}, {""id"": ""A2"", ""severity"": ""major"", ""gates"": [""G3""], ""brief"": ""Jailbreak Dictionary construction insufficiently described \u2014 method not implementable from paper."", ""source"": ""sheet""}, {""id"": ""A3"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""Moderate method-description gap; not classified as fundamental."", ""source"": ""sheet""}, {""id"": ""A4"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""Moderate evaluation clarity issue; not fundamental."", ""source"": ""sheet""}, {""id"": ""A5"", ""severity"": ""major"", ""gates"": [""G3""], ""brief"": ""ASCoT training lacks algorithm, hyperparameters, and procedure \u2014 method not implementable."", ""source"": ""sheet""}, {""id"": ""A6"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""Moderate evaluation elaboration request; not fundamental."", ""source"": ""sheet""}, {""id"": ""A7"", ""severity"": ""minor"", ""gates"": [], ""brief"": ""Minor concern below threshold."", ""source"": ""sheet""}, {""id"": ""A8"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""Moderate definitional clarity issue; not fundamental."", ""source"": ""sheet""}, {""id"": ""A9"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""Moderate ethics/reproducibility structuring issue; not fundamental."", ""source"": ""sheet""}, {""id"": ""A10"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""Moderate clarity/organization concern; not fundamental."", ""source"": ""sheet""}]"
CC-007,artificial_hivemind,Artificial Hivemind: The Open-Ended Homogeneity of Language Models (and Beyond),NeurIPS 2025,ACCEPTED,L,Opus,REJECT,REJECT,medium,"The review frames novelty as incremental and lists multiple fundamental methodological concerns (sole reliance on embedding similarity, absent causal analysis, statistical confounds, weak Section 3-4 linkage) as blocking rather than addressable, outweighing the acknowledged strengths.",REJECT,"2 major/fatal concerns in fundamental gates (G1, G4).","G1, G4, G7",2,False,5,3,3,True,,,SAME,SAME,SAME,NO,"[{""id"": ""A1"", ""severity"": ""major"", ""gates"": [""G1"", ""G4""], ""brief"": ""Sole reliance on unvalidated sentence-embedding cosine similarity as the diversity metric is a validity threat (G4) and creates a claim-evidence mismatch since semantic similarity does not directly measure diversity (G1)."", ""source"": ""sheet""}, {""id"": ""A2"", ""severity"": ""major"", ""gates"": [""G7""], ""brief"": ""Absence of causal analysis means the 'Artificial Hivemind' framing as a safety/homogenization concern overclaims beyond what the purely descriptive evidence supports (G7)."", ""source"": ""sheet""}, {""id"": ""A3"", ""severity"": ""major"", ""gates"": [""G1"", ""G4""], ""brief"": ""The calibration finding may be a statistical artifact (reduced variance/regression to mean) rather than a real miscalibration, constituting a confound (G4) and a claim-evidence mismatch where the evidence tests something else (G1)."", ""source"": ""sheet""}, {""id"": ""A4"", ""severity"": ""moderate"", ""gates"": [], ""brief"": """", ""source"": ""sheet""}, {""id"": ""A5"", ""severity"": ""moderate"", ""gates"": [], ""brief"": """", ""source"": ""sheet""}]"
CC-008,artificial_hivemind,Artificial Hivemind: The Open-Ended Homogeneity of Language Models (and Beyond),NeurIPS 2025,ACCEPTED,L,GPT4o,ACCEPT,ACCEPT,medium,"The review highlights substantial contributions (novel dataset, taxonomy, robust methodology, timely implications) with reasons for rejection framed as addressable improvements rather than fundamental flaws.",ACCEPT,No fundamental-gate triggers and positive acceptance signal present.,,0,False,7,0,0,True,,,SAME,SAME,SAME,NO,"[{""id"": ""A1"", ""severity"": ""minor"", ""gates"": [], ""brief"": ""Clarity/presentation concern, not a fundamental gate issue."", ""source"": ""sheet""}, {""id"": ""A2"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""English-only dataset is a scope/generalizability limitation, not a fatal flaw in the main claims."", ""source"": ""sheet""}, {""id"": ""A3"", ""severity"": ""minor"", ""gates"": [], ""brief"": ""Model scope generalizability concern, not a fundamental gate issue."", ""source"": ""sheet""}, {""id"": ""A4"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""Request for deeper causal analysis does not invalidate the empirical claims."", ""source"": ""sheet""}, {""id"": ""A5"", ""severity"": ""minor"", ""gates"": [], ""brief"": ""Suggestion to expand human annotation analysis, not a fundamental gate issue."", ""source"": ""sheet""}, {""id"": ""A6"", ""severity"": ""moderate"", ""gates"": [], ""brief"": ""Reproducibility concern due to proprietary models; does not rise to G3 (method not implementable) level."", ""source"": ""sheet""}, {""id"": ""A7"", ""severity"": ""minor"", ""gates"": [], ""brief"": ""Documentation/accessibility suggestion, not a fundamental gate issue."", ""source"": ""sheet""}]"
CC-009,artificial_hivemind,Artificial Hivemind: The Open-Ended Homogeneity of Language Models (and Beyond),NeurIPS 2025,ACCEPTED,A,Opus,REJECT,REJECT,high,"The review explicitly states 'Decision: Reject' and assigns low scores (Quality 2, Soundness 2, Significance 2, Overall 4) with fundamental methodological concerns about unvalidated metrics, missing human baselines, and overreaching claims.",REJECT,"4 major/fatal concerns in fundamental gates (G1, G2, G4).","G1, G2, G4, G6, G7",4,False,7,3,6,False,,,SAME,SAME,SAME,YES,"[{""id"": ""A1"", ""severity"": ""major"", ""gates"": [""G1"", ""G4""], ""brief"": ""Diversity metric (cosine similarity from single embedding model) is unvalidated against human diversity judgments, creating a claim-evidence mismatch and a validity threat to the central finding."", ""source"": ""sheet""}, {""id"": ""A2"", ""severity"": ""major"", ""gates"": [""G2"", ""G1""], ""brief"": ""Missing human diversity baseline means the 'too homogeneous' claim lacks a fair reference point, leaving the headline comparison ungrounded."", ""source"": ""sheet""}, {""id"": ""A3"", ""severity"": ""major"", ""gates"": [""G6""], ""brief"": ""Core analyses use only 100/50 queries from 26K, narrowing evaluation scope and limiting generalizability."", ""source"": ""sheet""}, {""id"": ""A4"", ""severity"": ""major"", ""gates"": [""G4"", ""G1""], ""brief"": ""Section 4 correlation drops may be a statistical artifact of restricted-range/noise effects rather than the claimed calibration failure, a validity threat to the conclusion."", ""source"": ""sheet""}, {""id"": ""A5"", ""severity"": ""major"", ""gates"": [""G1""], ""brief"": ""Without causal analysis, observed homogeneity cannot be attributed to the posited mechanisms, weakening the link between evidence and the paper's explanatory claims."", ""source"": ""sheet""}, {""id"": ""A7"", ""severity"": ""major"", ""gates"": [""G7""], ""brief"": ""Framing ('Artificial Hivemind,' AI safety risks, homogenization of human thought) exceeds what output-similarity measurements can support."", ""source"": ""sheet""}, {""id"": ""A6"", ""severity"": ""moderate"", ""gates"": [], ""brief"": """", ""source"": ""sheet""}]"
CC-010,artificial_hivemind,Artificial Hivemind: The Open-Ended Homogeneity of Language Models (and Beyond),NeurIPS 2025,ACCEPTED,A,GPT4o,REJECT,REJECT,high,"The review explicitly states 'Decision: Reject' and scores are mediocre (Overall: 5, with Clarity and Presentation at 2), with weaknesses framed as fundamental gaps in validation and scope.",AMBIGUOUS,"Mixed: 1 fundamental hit(s), below auto-reject threshold.","G0, G1, G6, G7",1,False,4,2,1,False,,,SAME,DIFF,DIFF,YES,"[{""id"": ""A1"", ""severity"": ""moderate"", ""gates"": [""G6""], ""brief"": ""English-only scope is a narrow evaluation condition limiting generalizability"", ""source"": ""sheet""}, {""id"": ""A2"", ""severity"": ""moderate"", ""gates"": [""G0"", ""G7""], ""brief"": ""Oversimplified framing of the Hivemind concept affects claim clarity and risks overclaiming scope of creativity"", ""source"": ""sheet""}, {""id"": ""A3"", ""severity"": ""major"", ""gates"": [""G1"", ""G7""], ""brief"": ""Proposed mitigation strategies lack empirical validation, creating claim-evidence mismatch and overclaiming"", ""source"": ""sheet""}, {""id"": ""A4"", ""severity"": ""moderate"", ""gates"": [""G1""], ""brief"": ""Unclear linkage between annotation insights and mitigation strategies is a claim-evidence gap"", ""source"": ""sheet""}]"
