tier,paper_slug,system,model,official,pipeline,cc_tone,ext_tone,cc_gate,ext_gate,cc_tone_signal,ext_tone_signal,cc_gate_reason,ext_gate_reason,cc_structural_note,proposed_final,human_verdict
T1,adversarial_dejavu,L,Opus,ACCEPTED,REJECT,AMBIGUOUS,REJECT,REJECT,REJECT,"The review balances strong praise for novelty, empirical results, and ablations with substantive methodological concerns (circular LLM-as-judge validation, untested linearity assumption, narrow evaluation, no adaptive attacks), without a clear lean toward either acceptance or rejection.","Praises the idea but treats circular LLM-judge validation, unvalidated linearity, and narrow/confounded unseen-attack testing as blocking.","3 major/fatal concerns in fundamental gates (G1, G4).","REJECT because circular validation, unsupported linearity, and confounded generalization evidence create three fundamental hits.",,REJECT,
T1,adversarial_dejavu,M,GPT4o,ACCEPTED,ACCEPT,REJECT,ACCEPT,AMBIGUOUS,ACCEPT,"The review consists mostly of process meta-commentary but identifies multiple areas lacking clarity and depth (hypothesis examples, dictionary construction, redundancy filtering, explainability scoring, ethics statement) framed as needed improvements rather than enthusiastic endorsement, leaning toward rejection.",The broken multi-agent output mostly reads like a positive review asking for clarity and implementation detail rather than rejecting the paper.,No fundamental gate triggers but no positive acceptance signal.,"ACCEPT because the major issues are reproducibility/detail gaps, not fundamental evidence or baseline failures, and the review still contains acceptance language.","Review consists of multi-agent process meta-commentary (high-level plans, SEND MESSAGE artifacts, repeated farewell exchanges with Agent 9, truncated second section). Original comment was never provided; refinement is generic clarity/depth suggestions rather than substantive technical critique.",UNRELIABLE,
T1,artificial_hivemind,M,GPT4o,ACCEPTED,REJECT,AMBIGUOUS,ACCEPT,AMBIGUOUS,ACCEPT,"The review consists of meta-planning and process messages about refining comments rather than substantive evaluation, with no clear accept or reject recommendation expressed.",The structurally broken review mainly asks for more analysis and detail while still describing the dataset and study as valuable.,No fundamental gate triggers but no positive acceptance signal.,"ACCEPT because all concerns are moderate or minor, so there are no fundamental gate hits and the review still contains positive acceptance language.","Multi-agent artifact: contains process meta-commentary, repeated 'SEND MESSAGE' fragments, inter-agent coordination text, and duplicated content rather than a coherent review.",UNRELIABLE,
T1,beyond_problem_solving,L,GPT4o,REJECTED,ACCEPT,REJECT,ACCEPT,AMBIGUOUS,AMBIGUOUS,"The reasons for rejection are more numerous, detailed, and substantive (clarity issues, insufficient benchmark comparison, limited datasets/models, lack of real-world grounding) than the brief acceptance reasons, suggesting the reviewer leans toward rejection.","The review presents the framework as novel and empirically useful, with the major concerns framed as comparative breadth and coverage limitations.","Mixed: 1 fundamental hit(s), below auto-reject threshold.",AMBIGUOUS because the only fundamental hit is the missing benchmark comparison; the other major issue is narrow evaluation scope.,,SPLIT (needs human),
T1,beyond_problem_solving,M,GPT4o,REJECTED,REJECT,AMBIGUOUS,REJECT,REJECT,REJECT,"The review provides constructive suggestions for improvement (baselines, ablations, clarity) without expressing a clear accept/reject recommendation, framing concerns as addressable enhancements rather than blocking issues or enthusiastic endorsement.","Although structurally broken, the substantive comments emphasize missing baselines, missing ablations, and poor reproducibility rather than a positive recommendation.","2 major/fatal concerns in fundamental gates (G1, G2).",REJECT because the review still identifies two fundamental concerns—a lack of comparison and no ablation supporting the framework—plus missing implementation detail.,"Review contains extensive multi-agent coordination artifacts (SEND MESSAGE fragments, Agent 1-6 references, step-by-step meta-planning about the review process itself) rather than direct paper critique; text is truncated mid-sentence and reads as process transcript rather than coherent review",UNRELIABLE,
T1,cmdp_meta_safe_rl,A,GPT4o,ACCEPTED,REJECT,REJECT,REJECT,REJECT,AMBIGUOUS,"The review explicitly states 'Decision: Reject' and is dominated by weaknesses around theoretical justification, clarity, and lack of practical validation, with low scores across quality, soundness, and presentation.","The explicit Reject decision rests on abstract theoretical claims, weak practical validation, and difficulty understanding what is genuinely novel.","3 major/fatal concerns in fundamental gates (G1, G2).","AMBIGUOUS because the review cleanly identifies one fundamental claim–evidence problem, while the other major concerns are about practical scope and presentation rather than gate-level fatality.",,REJECT,
T1,cmdp_meta_safe_rl,M,GPT4o,ACCEPTED,REJECT,AMBIGUOUS,REJECT,REJECT,REJECT,"The review consists of meta-planning steps and refinement suggestions without a clear accept/reject recommendation, offering constructive improvements but no overall verdict signal.","Despite the structural breakage, the surviving content leans negative because it emphasizes missing validation, no component analysis, and major reproducibility gaps.",3 major/fatal concerns in fundamental gates (G1).,REJECT because the review still surfaces two fundamental concerns—unsupported empirical robustness and no component-level evidence—alongside major implementation omissions.,"Review contains multi-agent process artifacts: high-level plans, 'SEND MESSAGE' directives to agents, meta-commentary about refining comments, and repeated 'Step 3' sections. Text is truncated mid-sentence.",UNRELIABLE,
T1,collabllm,O,Opus,ACCEPTED,ACCEPT,REJECT,ACCEPT,REJECT,AMBIGUOUS,"The review identifies multiple substantive technical errors (inflated headline number, contradictory figure, incorrect causal inference derivation, overclaimed generalization, and saturated reward term), framing them as errors requiring correction rather than minor fixes, which signals a critical-blocking stance.","The review says the core idea is sound and the experiments are thorough, with the main complaint being an overstated causal interpretation.","2 major/fatal concerns in fundamental gates (G1, G5).",AMBIGUOUS because only one major concern maps to a fundamental gate: the incorrect causal/front-door framing of the reward analysis.,,SPLIT (needs human),
T1,collabllm,M,GPT4o,ACCEPTED,ACCEPT,REJECT,ACCEPT,AMBIGUOUS,ACCEPT,"The review consists entirely of critical comments demanding additional analyses (statistical tests, qualitative analysis, thematic analysis, regression analysis, longitudinal study) and clarity improvements, with no expressions of enthusiasm or endorsement of the work's contributions.","The broken review mostly reads as a constructive request for more statistics and setup detail, not as a substantive rejection.",No fundamental gate triggers but no positive acceptance signal.,"ACCEPT because none of the major comments rise to a fundamental gate hit, and the review retains positive acceptance language.","Review contains meta-commentary about process (high-level plans, step-by-step instructions, 'SEND MESSAGE' artifacts), repeated/duplicated sections, and one section explicitly states 'misunderstanding in task execution'; text is truncated mid-sentence.",UNRELIABLE,
T1,from_assistant_pentest,L,GPT4o,REJECTED,REJECT,REJECT,ACCEPT,REJECT,REJECT,"The reasons for rejection are more numerous and framed as fundamental issues (limited generalizability, inadequate baselines, lack of reproducibility), outweighing the acceptance signals which read more as acknowledgment than enthusiasm.","The review’s overall framing is positive and industry-oriented, but the actual major objections focus on missing baselines and missing reproducibility detail.","2 major/fatal concerns in fundamental gates (G1, G2).",REJECT because two separate major concerns map to G2 because the review says there is neither a traditional/AI baseline comparison nor a real control condition.,,REJECT,
