review_id,paper_slug,system,model,official_decision,tone_verdict,tone_confidence,tone_signal,gate_verdict,gate_reason,triggered_gates,fundamental_gate_hits,fatal_concern_present,num_concerns,num_decisive_concerns,num_major_fatal_concerns,has_accept_signal,per_concern_gates_json,structural_unreliable_flag,positive_tone_missed_flaws_flag
EXT9-001,adversarial_dejavu,L,Opus,ACCEPTED,REJECT,high,"Praises the idea but treats circular LLM-judge validation, unvalidated linearity, and narrow/confounded unseen-attack testing as blocking.",REJECT,"REJECT because circular validation, unsupported linearity, and confounded generalization evidence create three fundamental hits.","G1, G4, G6, G7",3,false,4,4,4,true,"[{""id"": ""A1"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A2"", ""gates"": [""G1""]}, {""id"": ""A3"", ""gates"": [""G4"", ""G6""]}, {""id"": ""A4"", ""gates"": [""G6"", ""G7""]}]",,
EXT9-002,adversarial_dejavu,L,GPT4o,ACCEPTED,ACCEPT,medium,"Foregrounds novelty and empirical promise, with concerns framed as broader coverage and discussion limitations rather than fatal flaws.",ACCEPT,ACCEPT because the major concerns are narrow-scope/generalization issues rather than fundamental validity or baseline failures.,"G6, G7",0,false,4,0,2,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": [""G6"", ""G7""]}, {""id"": ""A3"", ""gates"": [""G6"", ""G7""]}, {""id"": ""A4"", ""gates"": []}]",,
EXT9-003,adversarial_dejavu,A,Opus,ACCEPTED,ACCEPT,high,The explicit decision is Accept and the review repeatedly frames the paper as novel and empirically strong despite several serious caveats.,REJECT,"REJECT because four major concerns hit fundamental gates through circular validation, small/confounded unseen evaluation, unsupported linearity, and missing source-of-gains ablation.","G1, G4, G6",4,false,9,0,4,true,"[{""id"": ""A1"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A2"", ""gates"": [""G4"", ""G6""]}, {""id"": ""A3"", ""gates"": [""G1""]}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": [""G1""]}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": []}]",,YES
EXT9-004,adversarial_dejavu,A,GPT4o,ACCEPTED,REJECT,high,"The explicit decision is Reject and the weaknesses are cast as core problems with novelty, validation, and reproducibility.",REJECT,"REJECT because the review identifies both incremental novelty and insufficient empirical support as fundamental problems, plus reproducibility gaps.","G1, G3, G5, G6, G7",2,false,8,3,4,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": [""G1""]}, {""id"": ""A3"", ""gates"": [""G3""]}, {""id"": ""A4"", ""gates"": [""G6"", ""G7""]}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": []}]",,
EXT9-005,adversarial_dejavu,O,Opus,ACCEPTED,REJECT,medium,"After an initially positive framing, the review dwells on unsupported claims, confounded analyses, and questionable evaluation sensitivity.",REJECT,"REJECT because multiple major issues hit fundamental gates, including unsupported adversarial-training framing, confounded depth and scale claims, and mismatched evidence for robustness.","G1, G2, G4, G7",6,false,9,6,6,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": [""G1""]}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": [""G1"", ""G7""]}, {""id"": ""A5"", ""gates"": [""G4""]}, {""id"": ""A6"", ""gates"": [""G4""]}, {""id"": ""A7"", ""gates"": [""G1"", ""G2"", ""G7""]}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": [""G1""]}]",,
EXT9-006,adversarial_dejavu,M,GPT4o,ACCEPTED,ACCEPT,low,The broken multi-agent output mostly reads like a positive review asking for clarity and implementation detail rather than rejecting the paper.,ACCEPT,"ACCEPT because the major issues are reproducibility/detail gaps, not fundamental evidence or baseline failures, and the review still contains acceptance language.",G3,0,false,10,2,2,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": [""G3""]}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": [""G3""]}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": []}, {""id"": ""A10"", ""gates"": []}]",YES,
EXT9-007,artificial_hivemind,L,Opus,ACCEPTED,REJECT,medium,"Despite praising the dataset and scale, the review treats the unvalidated diversity metric, absent causal analysis, and disconnected human-study claims as blocking.",REJECT,"REJECT because the central diversity and calibration claims rely on a potentially invalid metric and a disconnected analysis, yielding two fundamental hits.","G1, G4, G7",2,false,5,3,3,true,"[{""id"": ""A1"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A2"", ""gates"": [""G7""]}, {""id"": ""A3"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}]",,
EXT9-008,artificial_hivemind,L,GPT4o,ACCEPTED,ACCEPT,medium,"The review strongly emphasizes the value of the dataset, taxonomy, and broad empirical study, with only moderate scope and reproducibility caveats.",ACCEPT,ACCEPT because no major concern is mapped to a fundamental gate and the review contains substantive reasons for acceptance.,,0,false,7,0,0,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}]",,
EXT9-009,artificial_hivemind,A,Opus,ACCEPTED,REJECT,high,The explicit Reject decision is driven by skepticism about the measurement framework and whether the paper can support its stronger claims.,REJECT,"REJECT because the review flags invalid measurement, a missing human baseline, and artifact-prone Section 4 evidence, producing three fundamental hits.","G1, G2, G4, G6, G7",3,false,7,3,6,true,"[{""id"": ""A1"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A2"", ""gates"": [""G1"", ""G2""]}, {""id"": ""A3"", ""gates"": [""G6""]}, {""id"": ""A4"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A5"", ""gates"": [""G7""]}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": [""G7""]}]",,
EXT9-010,artificial_hivemind,A,GPT4o,ACCEPTED,REJECT,high,The explicit Reject decision rests on the claim that the paper does not empirically validate its proposed mitigation angle.,AMBIGUOUS,AMBIGUOUS because only one major concern maps cleanly to a fundamental gate—the unsupported mitigation claim—so the review does not clearly cross the reject threshold under the gate rules.,G1,1,false,4,2,1,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": [""G1""]}, {""id"": ""A4"", ""gates"": []}]",,
