paper_slug,system,model,official_decision,pipeline_verdict,cc_tone,ext_tone,cc_gate,ext_gate,human_verdict,final_verdict,audited
adversarial_dejavu,A,GPT4o,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
adversarial_dejavu,A,Opus,ACCEPT,ACCEPT,ACCEPT,ACCEPT,REJECT,REJECT,ACCEPT,ACCEPT,YES
adversarial_dejavu,L,GPT4o,ACCEPT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,,ACCEPT,NO
adversarial_dejavu,L,Opus,ACCEPT,REJECT,AMBIGUOUS,REJECT,REJECT,REJECT,REJECT,REJECT,YES
adversarial_dejavu,M,GPT4o,ACCEPT,ACCEPT,REJECT,ACCEPT,AMBIGUOUS,ACCEPT,UNRELIABLE,UNRELIABLE,YES
adversarial_dejavu,O,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
artificial_hivemind,A,GPT4o,ACCEPT,REJECT,REJECT,REJECT,AMBIGUOUS,AMBIGUOUS,REJECT,REJECT,YES
artificial_hivemind,A,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
artificial_hivemind,L,GPT4o,ACCEPT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,ACCEPT,,ACCEPT,NO
artificial_hivemind,L,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
artificial_hivemind,M,GPT4o,ACCEPT,REJECT,AMBIGUOUS,ACCEPT,AMBIGUOUS,ACCEPT,UNRELIABLE,UNRELIABLE,YES
artificial_hivemind,O,Opus,ACCEPT,ACCEPT,ACCEPT,ACCEPT,AMBIGUOUS,AMBIGUOUS,ACCEPT,ACCEPT,YES
beyond_problem_solving,A,GPT4o,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
beyond_problem_solving,A,Opus,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
beyond_problem_solving,L,GPT4o,REJECT,ACCEPT,REJECT,ACCEPT,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,YES
beyond_problem_solving,L,Opus,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
beyond_problem_solving,M,GPT4o,REJECT,REJECT,AMBIGUOUS,REJECT,REJECT,REJECT,UNRELIABLE,UNRELIABLE,YES
beyond_problem_solving,O,Opus,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
cmdp_meta_safe_rl,A,GPT4o,ACCEPT,REJECT,REJECT,REJECT,REJECT,AMBIGUOUS,REJECT,REJECT,YES
cmdp_meta_safe_rl,A,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
cmdp_meta_safe_rl,L,GPT4o,ACCEPT,ACCEPT,ACCEPT,ACCEPT,AMBIGUOUS,AMBIGUOUS,ACCEPT,ACCEPT,YES
cmdp_meta_safe_rl,L,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
cmdp_meta_safe_rl,M,GPT4o,ACCEPT,REJECT,AMBIGUOUS,REJECT,REJECT,REJECT,UNRELIABLE,UNRELIABLE,YES
cmdp_meta_safe_rl,O,Opus,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
collabllm,A,GPT4o,ACCEPT,REJECT,REJECT,REJECT,REJECT,REJECT,,REJECT,NO
